,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,GPS_lat,GPS_long,Network_lat,Network_long,Time,Anchor_Number,Type,Registered,CID,LAC,MCC,MNC,dBm,level,spoofed,lat,lon,e_lat,e_lon,difference
483,483,483,489,25.36854,51.55122833333333,0.0,0.0,1561285830823,3,GSM,False,25642,9402,427,1,-79,4,0.0,25.368494,51.552817,25.366900038291032,51.5504447540279,0.1986245351984329
484,484,484,490,25.36854,51.55122833333333,0.0,0.0,1561285830823,4,GSM,False,22961,9401,427,1,-87,4,0.0,25.329208,51.529876,25.366900038291032,51.5504447540279,0.1986245351984329
485,485,485,491,25.36854,51.55122833333333,0.0,0.0,1561285830823,5,GSM,False,29173,9402,427,1,-87,4,0.0,25.366287,51.551102,25.366900038291032,51.5504447540279,0.1986245351984329
486,486,486,492,25.36854,51.55122833333333,0.0,0.0,1561285830823,6,GSM,False,40721,9402,427,1,-91,3,0.0,25.370682,51.550003,25.366900038291032,51.5504447540279,0.1986245351984329
487,487,487,493,25.36854,51.55122833333333,0.0,0.0,1561285830823,7,GSM,True,17383,120,427,2,13,4,0.0,25.368232,51.550961,25.366900038291032,51.5504447540279,0.1986245351984329
488,488,488,494,25.36854,51.55122833333333,0.0,0.0,1561285830823,8,GSM,False,17382,120,427,2,-17,4,0.0,25.3502655,51.53068542,25.366900038291032,51.5504447540279,0.1986245351984329
489,489,489,495,25.36854,51.55122833333333,0.0,0.0,1561285830823,9,GSM,False,16573,120,427,2,-39,4,0.0,25.33103943,51.53343201,25.366900038291032,51.5504447540279,0.1986245351984329
490,490,490,496,25.36854,51.55122833333333,0.0,0.0,1561285830823,10,GSM,False,17381,120,427,2,-57,4,0.0,25.362966,51.554779,25.366900038291032,51.5504447540279,0.1986245351984329
491,491,491,497,25.36854,51.55122833333333,0.0,0.0,1561285830823,11,GSM,False,16572,120,427,2,-71,4,0.0,25.336533,51.532517,25.366900038291032,51.5504447540279,0.1986245351984329
492,492,492,498,25.36854,51.55122833333333,0.0,0.0,1561285830823,12,GSM,False,10022,120,427,2,-79,4,0.0,25.368139,51.546364,25.366900038291032,51.5504447540279,0.1986245351984329
493,493,493,499,25.36854,51.55122833333333,0.0,0.0,1561285830823,13,GSM,False,10681,120,427,2,-81,4,0.0,25.359568,51.564293,25.366900038291032,51.5504447540279,0.1986245351984329
494,494,494,500,25.36850833333333,51.55120166666667,0.0,0.0,1561285831901,0,GSM,True,40283,9402,427,1,-1,4,0.0,25.369492,51.550598,25.366774476240348,51.55043733035398,0.20752798354841548
495,495,495,501,25.36850833333333,51.55120166666667,0.0,0.0,1561285831901,1,GSM,False,40282,9402,427,1,-27,4,0.0,25.367661,51.550369,25.366774476240348,51.55043733035398,0.20752798354841548
496,496,496,502,25.36850833333333,51.55120166666667,0.0,0.0,1561285831901,2,GSM,False,40281,9402,427,1,-53,4,0.0,25.368256,51.557053,25.366774476240348,51.55043733035398,0.20752798354841548
497,497,497,503,25.36850833333333,51.55120166666667,0.0,0.0,1561285831901,3,GSM,False,25642,9402,427,1,-79,4,0.0,25.368494,51.552817,25.366774476240348,51.55043733035398,0.20752798354841548
498,498,498,504,25.36850833333333,51.55120166666667,0.0,0.0,1561285831901,4,GSM,False,22961,9401,427,1,-87,4,0.0,25.329208,51.529876,25.366774476240348,51.55043733035398,0.20752798354841548
499,499,499,505,25.36850833333333,51.55120166666667,0.0,0.0,1561285831901,5,GSM,False,29173,9402,427,1,-87,4,0.0,25.366287,51.551102,25.366774476240348,51.55043733035398,0.20752798354841548
500,500,500,506,25.36850833333333,51.55120166666667,0.0,0.0,1561285831901,6,GSM,False,40721,9402,427,1,-91,3,0.0,25.370682,51.550003,25.366774476240348,51.55043733035398,0.20752798354841548
501,501,501,507,25.36850833333333,51.55120166666667,0.0,0.0,1561285831901,7,GSM,True,17383,120,427,2,11,4,0.0,25.368232,51.550961,25.366774476240348,51.55043733035398,0.20752798354841548
502,502,502,508,25.36850833333333,51.55120166666667,0.0,0.0,1561285831901,8,GSM,False,17382,120,427,2,-17,4,0.0,25.3502655,51.53068542,25.366774476240348,51.55043733035398,0.20752798354841548
503,503,503,509,25.36850833333333,51.55120166666667,0.0,0.0,1561285831901,9,GSM,False,16573,120,427,2,-39,4,0.0,25.33103943,51.53343201,25.366774476240348,51.55043733035398,0.20752798354841548
504,504,504,510,25.36850833333333,51.55120166666667,0.0,0.0,1561285831901,10,GSM,False,17381,120,427,2,-57,4,0.0,25.362966,51.554779,25.366774476240348,51.55043733035398,0.20752798354841548
505,505,505,511,25.36850833333333,51.55120166666667,0.0,0.0,1561285831901,11,GSM,False,16572,120,427,2,-71,4,0.0,25.336533,51.532517,25.366774476240348,51.55043733035398,0.20752798354841548
506,506,506,512,25.36850833333333,51.55120166666667,0.0,0.0,1561285831901,12,GSM,False,10022,120,427,2,-79,4,0.0,25.368139,51.546364,25.366774476240348,51.55043733035398,0.20752798354841548
507,507,507,513,25.36850833333333,51.55120166666667,0.0,0.0,1561285831901,13,GSM,False,10681,120,427,2,-81,4,0.0,25.359568,51.564293,25.366774476240348,51.55043733035398,0.20752798354841548
508,508,508,514,25.368485000000003,51.55116666666666,0.0,0.0,1561285832799,0,GSM,True,40283,9402,427,1,1,4,0.0,25.369492,51.550598,25.367303136767866,51.55074226748481,0.13816188145696867
509,509,509,515,25.368485000000003,51.55116666666666,0.0,0.0,1561285832799,1,GSM,False,40282,9402,427,1,-23,4,0.0,25.367661,51.550369,25.367303136767866,51.55074226748481,0.13816188145696867
510,510,510,516,25.368485000000003,51.55116666666666,0.0,0.0,1561285832799,2,GSM,False,40281,9402,427,1,-49,4,0.0,25.368256,51.557053,25.367303136767866,51.55074226748481,0.13816188145696867
511,511,511,517,25.368485000000003,51.55116666666666,0.0,0.0,1561285832799,3,GSM,False,25642,9402,427,1,-73,4,0.0,25.368494,51.552817,25.367303136767866,51.55074226748481,0.13816188145696867
512,512,512,518,25.368485000000003,51.55116666666666,0.0,0.0,1561285832799,4,GSM,False,29173,9402,427,1,-85,4,0.0,25.366287,51.551102,25.367303136767866,51.55074226748481,0.13816188145696867
