,Unnamed: 0,GPS_lat,GPS_long,Network_lat,Network_long,Time,Anchor_Number,Type,Registered,CID,LAC,MCC,MNC,dBm,level,lat,lon
3147,3147,25.373033333333336,51.539305,0.0,0.0,1561286140143,3,GSM,False,43951,9402,427,1,-57,4,25.37047,51.53982
3148,3148,25.373033333333336,51.539305,0.0,0.0,1561286140143,4,GSM,False,49222,9402,427,1,-63,4,25.375443,51.544876
3149,3149,25.373033333333336,51.539305,0.0,0.0,1561286140143,5,GSM,False,49513,9402,427,1,-63,4,25.37044,51.525829
3150,3150,25.373033333333336,51.539305,0.0,0.0,1561286140143,6,GSM,False,20003,9402,427,1,-73,4,25.3732,51.546154
3151,3151,25.373033333333336,51.539305,0.0,0.0,1561286140143,7,GSM,True,16851,120,427,2,-9,4,25.373954,51.539088
3152,3152,25.373033333333336,51.539305,0.0,0.0,1561286140143,8,GSM,False,10023,120,427,2,-31,4,25.366745,51.538238
3153,3153,25.373033333333336,51.539305,0.0,0.0,1561286140143,9,GSM,False,10193,120,427,2,-37,4,25.368576,51.523819
3154,3154,25.373033333333336,51.539305,0.0,0.0,1561286140143,10,GSM,False,10571,120,427,2,-49,4,25.369661,51.543964
3155,3155,25.373033333333336,51.539305,0.0,0.0,1561286140143,11,GSM,False,10761,120,427,2,-51,4,25.385899,51.543892
3156,3156,25.373033333333336,51.539305,0.0,0.0,1561286140143,12,GSM,False,16853,120,427,2,-51,4,25.370248,51.533936
3157,3157,25.373033333333336,51.539305,0.0,0.0,1561286140143,13,GSM,False,10583,120,427,2,-63,4,25.374321,51.544645
3158,3158,25.372495000000004,51.53862333333333,0.0,0.0,1561286143060,0,GSM,True,49543,9402,427,1,-67,4,25.388344,51.551006
3159,3159,25.372495000000004,51.53862333333333,0.0,0.0,1561286143060,1,GSM,False,25451,9402,427,1,-5,4,25.374525,51.540157
3160,3160,25.372495000000004,51.53862333333333,0.0,0.0,1561286143060,2,GSM,False,25452,9402,427,1,-41,4,25.359192,51.527252
3161,3161,25.372495000000004,51.53862333333333,0.0,0.0,1561286143060,3,GSM,False,43951,9402,427,1,-57,4,25.37047,51.53982
3162,3162,25.372495000000004,51.53862333333333,0.0,0.0,1561286143060,4,GSM,False,49222,9402,427,1,-63,4,25.375443,51.544876
3163,3163,25.372495000000004,51.53862333333333,0.0,0.0,1561286143060,5,GSM,False,49513,9402,427,1,-63,4,25.37044,51.525829
3164,3164,25.372495000000004,51.53862333333333,0.0,0.0,1561286143060,6,GSM,False,20003,9402,427,1,-73,4,25.3732,51.546154
3165,3165,25.372495000000004,51.53862333333333,0.0,0.0,1561286143060,7,GSM,True,16851,120,427,2,-1,4,25.373954,51.539088
3166,3166,25.372495000000004,51.53862333333333,0.0,0.0,1561286143060,8,GSM,False,10023,120,427,2,-31,4,25.366745,51.538238
3167,3167,25.372495000000004,51.53862333333333,0.0,0.0,1561286143060,9,GSM,False,10193,120,427,2,-37,4,25.368576,51.523819
3168,3168,25.372495000000004,51.53862333333333,0.0,0.0,1561286143060,10,GSM,False,10571,120,427,2,-49,4,25.369661,51.543964
3169,3169,25.372495000000004,51.53862333333333,0.0,0.0,1561286143060,11,GSM,False,10761,120,427,2,-51,4,25.385899,51.543892
3170,3170,25.372495000000004,51.53862333333333,0.0,0.0,1561286143060,12,GSM,False,16853,120,427,2,-51,4,25.370248,51.533936
3171,3171,25.372495000000004,51.53862333333333,0.0,0.0,1561286143060,13,GSM,False,10583,120,427,2,-63,4,25.374321,51.544645
3172,3172,25.37239333333333,51.53840333333333,0.0,0.0,1561286143671,0,GSM,True,49543,9402,427,1,-67,4,25.388344,51.551006
3173,3173,25.37239333333333,51.53840333333333,0.0,0.0,1561286143671,1,GSM,False,25451,9402,427,1,-5,4,25.374525,51.540157
3174,3174,25.37239333333333,51.53840333333333,0.0,0.0,1561286143671,2,GSM,False,25452,9402,427,1,-41,4,25.359192,51.527252
3175,3175,25.37239333333333,51.53840333333333,0.0,0.0,1561286143671,3,GSM,False,43951,9402,427,1,-57,4,25.37047,51.53982
3176,3176,25.37239333333333,51.53840333333333,0.0,0.0,1561286143671,4,GSM,False,49222,9402,427,1,-63,4,25.375443,51.544876
3177,3177,25.37239333333333,51.53840333333333,0.0,0.0,1561286143671,5,GSM,False,49513,9402,427,1,-63,4,25.37044,51.525829
3178,3178,25.37239333333333,51.53840333333333,0.0,0.0,1561286143671,6,GSM,False,20003,9402,427,1,-73,4,25.3732,51.546154
3179,3179,25.37239333333333,51.53840333333333,0.0,0.0,1561286143671,7,GSM,True,16851,120,427,2,-1,4,25.373954,51.539088
3180,3180,25.37239333333333,51.53840333333333,0.0,0.0,1561286143671,8,GSM,False,10023,120,427,2,-31,4,25.366745,51.538238
3181,3181,25.37239333333333,51.53840333333333,0.0,0.0,1561286143671,9,GSM,False,10193,120,427,2,-37,4,25.368576,51.523819
3182,3182,25.37239333333333,51.53840333333333,0.0,0.0,1561286143671,10,GSM,False,10571,120,427,2,-49,4,25.369661,51.543964
3183,3183,25.37239333333333,51.53840333333333,0.0,0.0,1561286143671,11,GSM,False,10761,120,427,2,-51,4,25.385899,51.543892
3184,3184,25.37239333333333,51.53840333333333,0.0,0.0,1561286143671,12,GSM,False,16853,120,427,2,-51,4,25.370248,51.533936
3185,3185,25.37239333333333,51.53840333333333,0.0,0.0,1561286143671,13,GSM,False,10583,120,427,2,-63,4,25.374321,51.544645
3186,3186,25.372315000000004,51.53819666666666,0.0,0.0,1561286145309,0,GSM,True,25451,9402,427,1,-25,4,25.374525,51.540157
3187,3187,25.372315000000004,51.53819666666666,0.0,0.0,1561286145309,1,GSM,False,25452,9402,427,1,-7,4,25.359192,51.527252
3188,3188,25.372315000000004,51.53819666666666,0.0,0.0,1561286145309,2,GSM,False,49222,9402,427,1,-41,4,25.375443,51.544876
3189,3189,25.372315000000004,51.53819666666666,0.0,0.0,1561286145309,3,GSM,False,43951,9402,427,1,-51,4,25.37047,51.53982
3190,3190,25.372315000000004,51.53819666666666,0.0,0.0,1561286145309,4,GSM,False,20003,9402,427,1,-71,4,25.3732,51.546154
3191,3191,25.372315000000004,51.53819666666666,0.0,0.0,1561286145309,5,GSM,True,16851,120,427,2,5,4,25.373954,51.539088
