BSSID,Lat,Long
58:2a:f7:bc:1f:e4,25.32056236,51.49008942
10:fe:ed:cd:eb:9a,25.32062149,51.49002075
34:68:95:82:ab:1b,25.32071114,51.48963928
10:da:43:5c:07:24,25.32080841,51.48977661
12:da:43:5c:07:24,25.32080841,51.48977661
dc:72:9b:64:b6:fa,25.3211174,51.48903275
24:09:95:5e:39:14,25.32113838,51.48871994
be:a9:20:26:c8:fa,25.3212986,51.4886322
c6:06:83:8f:74:8b,25.32183075,51.48731613
00:ad:24:bb:7e:03,25.32252884,51.4851265
88:90:8d:35:bd:13,25.3224659,51.48542786
10:da:43:5c:11:c6,25.3227787,51.48366165
90:67:1c:3d:74:28,25.3228054,51.48350143
24:09:95:43:de:9c,25.3228302,51.48330688
58:6d:8f:4b:d2:0e,25.32290077,51.48028564
00:ad:24:f7:ff:8f,25.32300568,51.48018265
10:da:43:5b:f4:7c,25.29508781,51.48836899
74:da:da:93:81:50,25.32228279,51.4756813
66:70:33:33:d5:ab,25.322258,51.47571945
b0:be:76:82:35:57,25.32191086,51.47449112
58:2a:f7:95:63:10,25.32177544,51.47401047
40:9b:cd:60:d9:db,25.32117462,51.47210693
d0:16:b4:7b:28:ee,25.3202858,51.46762085
d0:65:ca:1e:cf:55,25.32037354,51.46748734
34:68:95:82:da:11,25.32030678,51.46723557
50:01:d9:17:b1:e8,25.32023239,51.46726608
00:ad:24:16:d6:8d,25.32021713,51.46651077
fa:da:0c:7b:01:9f,25.32024002,51.46651077
8c:dc:d4:69:af:95,25.32024193,51.46585464
6e:4d:73:d9:91:04,25.32025719,51.46521378
c4:9f:4c:c4:54:66,25.32021523,51.46453094
90:67:1c:3c:ce:a0,25.32020187,51.46443939
c8:b3:73:5e:ce:b9,25.32022095,51.4640007
c0:bd:d1:20:be:25,25.32032013,51.46343994
c8:b3:73:5e:ce:cb,25.32019424,51.46181107
34:97:f6:6f:06:b0,25.320261,51.46271896
c8:b3:73:5e:ce:bf,25.32029152,51.46206284
28:3b:82:2a:d0:f0,25.32024765,51.45533371
