radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,427,1,9201,25621,0,51.467397,25.221178,4526,47,1,1351533042,1441693248,0
GSM,427,1,9101,23552,0,51.489167,25.235917,2356,30,1,1351533042,1475485021,0
GSM,427,1,9101,20341,0,51.505015,25.234951,1000,65,1,1351533044,1485588653,0
GSM,427,1,9101,20741,0,51.513748,25.23416,3593,33,1,1351533049,1471740248,0
GSM,427,1,9101,21509,0,51.510521,25.230563,2407,237,1,1351533050,1478790283,0
GSM,427,1,9101,20997,0,51.512527,25.228018,6525,54,1,1351533051,1447757285,0
GSM,427,1,9102,22880,0,51.587203,25.118842,6672,400,1,1351588599,1481584807,0
GSM,427,1,9102,22882,0,51.568897,25.078926,12534,575,1,1351588599,1485347715,0
GSM,427,1,9102,24603,0,51.547864,25.030996,17118,521,1,1351588599,1485519229,0
GSM,427,1,9102,22891,0,51.556567,25.009297,4172,189,1,1351588600,1476324799,0
GSM,427,1,9102,24943,0,51.563873,24.995252,6298,150,1,1351588600,1485519229,0
GSM,427,1,9102,24953,0,51.560894,24.980394,14948,716,1,1351588600,1485519229,0
GSM,427,1,9102,24413,0,51.551433,24.97584,21612,94,1,1351588600,1486883774,0
GSM,427,1,9102,22681,0,51.555536,24.979054,3868,240,1,1351588600,1485347715,0
GSM,427,1,9102,22682,0,51.546495,24.974041,2820,121,1,1351588600,1486883774,0
GSM,427,1,9102,21329,0,51.549225,24.973297,1000,2,1,1351588601,1441609900,0
GSM,427,1,9102,24951,0,51.57261,24.981371,4729,492,1,1351588601,1505399834,0
GSM,427,1,9102,25272,0,51.582471,24.977037,3250,397,1,1351588601,1505444592,0
GSM,427,1,9102,25273,0,51.573003,24.983568,12827,372,1,1351588601,1476322126,0
GSM,427,1,9102,22871,0,51.562878,24.993044,9563,673,1,1351588602,1476401914,0
GSM,427,1,9102,24621,0,51.555119,25.012356,6953,341,1,1351588602,1476402214,0
GSM,427,1,9102,22881,0,51.580845,25.109135,8538,162,1,1351588602,1460404520,0
GSM,427,1,9102,40352,0,51.588976,25.124329,13053,157,1,1351588602,1464664119,0
GSM,427,1,9102,22701,0,51.599027,25.154531,1611,34,1,1351588602,1478439512,0
GSM,427,1,9102,23062,0,51.591133,25.159085,3940,122,1,1351588602,1473298770,0
GSM,427,1,9102,23061,0,51.591575,25.167712,2608,189,1,1351588602,1476763527,0
GSM,427,1,9102,20741,0,51.545412,25.154948,14827,277,1,1351588602,1476765179,0
GSM,427,1,9102,20743,0,51.546429,25.16119,1768,97,1,1351588602,1473834256,0
GSM,427,1,9102,29213,0,51.545213,25.171636,1000,121,1,1351588602,1421078557,0
GSM,427,1,9102,24721,0,51.531315,25.176933,6168,382,1,1351588603,1479650492,0
GSM,427,1,9101,23362,0,51.498298,25.179406,3403,12,1,1351588603,1364015720,0
GSM,427,1,9101,20782,0,51.545183,25.209465,5056,123,1,1351588603,1493646998,0
GSM,427,1,9101,24551,0,51.532042,25.212903,2871,81,1,1351588603,1476326869,0
GSM,427,1,9101,21893,0,51.517968,25.239233,7777,27,1,1351588604,1487424399,0
GSM,427,1,9101,24552,0,51.524001,25.20235,5133,477,1,1351588606,1487368559,0
GSM,427,1,9101,25132,0,51.530453,25.21516,2996,118,1,1351588606,1470778417,0
GSM,427,1,9101,29432,0,51.583375,25.221628,1000,79,1,1351588607,1448393106,0
GSM,427,1,9101,29573,0,51.583266,25.223267,3599,111,1,1351588607,1476405690,0
GSM,427,1,9102,20721,0,51.603714,25.178952,1651,253,1,1351588608,1477008245,0
GSM,427,1,9102,24393,0,51.607284,25.169948,2156,350,1,1351588608,1477004140,0
GSM,427,1,9302,24701,0,51.315112,25.177455,14946,80,1,1351761532,1461942984,0
GSM,427,1,9302,20043,0,51.369981,25.189116,3131,191,1,1351761533,1490672298,0
GSM,427,1,9203,25333,0,51.414633,25.180674,3284,282,1,1351761534,1480339884,0
GSM,427,1,9203,25331,0,51.425096,25.18142,1678,339,1,1351761534,1492468731,0
GSM,427,1,9203,25332,0,51.426825,25.172022,1445,299,1,1351761534,1483767669,0
GSM,427,1,9203,24512,0,51.432075,25.173219,1000,165,1,1351761534,1492157436,0
GSM,427,1,9302,21412,0,51.381101,25.18712,6530,702,1,1351761534,1490672298,0
GSM,427,1,9102,25751,0,51.490083,25.027294,4773,470,1,1351761536,1485519229,0
GSM,427,1,9102,22872,0,51.525863,24.995101,8745,576,1,1351761536,1486883774,0
GSM,427,1,9102,22873,0,51.523576,25.007206,13908,478,1,1351761536,1485519229,0
GSM,427,1,9302,21841,0,51.349745,25.177696,38453,16,1,1351761537,1463691769,0
GSM,427,1,9203,21013,0,51.43318176,25.16899109,1000,1,1,1351761539,1351703722,0
GSM,427,1,9102,24952,0,51.568046,24.973911,3329,244,1,1351761540,1452745728,0
GSM,427,1,9102,22771,0,51.573061,24.960353,30555,258,1,1351761540,1474120822,0
GSM,427,1,9102,24051,0,51.589578,24.953646,1872,121,1,1351761540,1474120822,0
GSM,427,1,9102,24411,0,51.580775,24.959036,2982,78,1,1351761540,1456174858,0
GSM,427,1,9102,20711,0,51.607706,25.163286,1577,272,1,1351761542,1477005282,0
GSM,427,1,9102,22312,0,51.596581,25.195219,2554,61,1,1351761543,1477097601,0
GSM,427,1,9102,23901,0,51.586793,25.20643,4291,651,1,1351761543,1481039207,0
GSM,427,1,9101,24561,0,51.58592,25.217874,4647,544,1,1351761543,1476762148,0
GSM,427,1,9101,24752,0,51.557386,25.240958,4949,183,1,1351761544,1476663959,0
GSM,427,1,9101,23011,0,51.550215,25.235968,1000,249,1,1351761544,1481850799,0
GSM,427,1,9101,21892,0,51.515579,25.233387,2474,157,1,1351761548,1487424404,0
GSM,427,1,9301,21601,0,51.4565,25.345138,2352,573,1,1351761549,1487997792,0
GSM,427,1,9301,40191,0,51.476409,25.30051,2860,1377,1,1351761549,1488436493,0
GSM,427,1,9402,20493,0,51.477465,25.293754,3754,1008,1,1351761549,1475813254,0
GSM,427,1,9501,20653,0,51.479995,25.286876,1548,1196,1,1351761549,1490256190,0
GSM,427,1,9501,25303,0,51.48666,25.281114,1698,1619,1,1351761549,1490256190,0
GSM,427,1,9501,40381,0,51.493935,25.269877,2096,1153,1,1351761549,1490927316,0
