,radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
332,GSM,427,1,9102,23902,0,51.593753,25.195744,3043,372,1,1352125453,1477097601,0
333,GSM,427,1,9101,22352,0,51.573446,25.223891,3481,87,1,1352125454,1448140980,0
334,GSM,427,1,9101,23632,0,51.567331,25.247905,1000,149,1,1352125454,1475979135,0
335,GSM,427,1,9101,24751,0,51.564254,25.243836,3609,124,1,1352125454,1452933392,0
336,GSM,427,1,9101,20789,0,51.52211,25.229204,7026,45,1,1352125455,1459029886,0
337,GSM,427,1,9201,24491,0,51.428787,25.197391,1000,25,1,1352125456,1487931161,0
338,GSM,427,1,9201,21557,0,51.424484,25.201035,1135,3,1,1352125456,1440032075,0
339,GSM,427,1,9201,21393,0,51.423792,25.206248,1126,208,1,1352125457,1505876383,0
340,GSM,427,1,9201,29342,0,51.402348,25.202183,4876,283,1,1352125457,1490672288,0
341,GSM,427,1,9201,21029,0,51.43180847,25.19508362,1000,1,1,1352125457,1351998972,0
342,GSM,427,1,9101,21589,0,51.497269,25.228501,1314,3,1,1352125461,1461526365,0
343,GSM,427,1,9101,21881,0,51.510146,25.231538,2698,411,1,1352125461,1486703273,0
344,GSM,427,1,9501,20532,0,51.492328,25.27095,1000,479,1,1352125465,1485588659,0
345,GSM,427,1,9402,20492,0,51.48281,25.290715,1363,377,1,1352125465,1475813215,0
346,GSM,427,1,9302,29533,0,51.475307,25.294722,1000,166,1,1352125466,1421079791,0
347,GSM,427,1,9301,22112,0,51.47111,25.316142,2360,493,1,1352125467,1475813254,0
348,GSM,427,1,9301,23253,0,51.465392,25.324983,2257,1055,1,1352125468,1492540200,0
349,GSM,427,1,9301,20922,0,51.465454,25.328886,1000,648,1,1352125468,1475813251,0
350,GSM,427,1,9301,25882,0,51.454437,25.352186,1426,316,1,1352125469,1475813248,0
351,GSM,427,1,9601,25501,0,51.443441,25.37707,1677,542,1,1352125470,1478514672,0
352,GSM,427,1,9601,20971,0,51.436823,25.378362,6229,48,1,1352125470,1493755453,0
353,GSM,427,1,9101,21585,0,51.510607,25.231763,3845,182,1,1352125478,1461575619,0
354,GSM,427,1,9101,21269,0,51.515339,25.231776,4142,103,1,1352125478,1458201341,0
355,GSM,427,1,9101,20853,0,51.515109,25.247742,7184,32,1,1352125489,1471331361,0
356,GSM,427,1,9101,21381,0,51.511649,25.231247,4477,123,1,1352125523,1458335824,0
357,GSM,427,1,9201,29471,0,51.449301,25.197646,1214,343,1,1352125525,1364778392,0
358,GSM,427,1,9201,25732,0,51.442258,25.202756,1000,46,1,1352125526,1487931161,0
359,GSM,427,1,9201,25762,0,51.434411,25.211202,1509,38,1,1352125526,1487931161,0
360,GSM,427,1,9201,23351,0,51.430342,25.208442,1000,44,1,1352125526,1464481316,0
361,GSM,427,1,9201,29392,0,51.427761,25.211419,1130,19,1,1352125526,1359262741,0
362,GSM,427,1,9201,29341,0,51.413586,25.214838,1690,685,1,1352125527,1490672288,0
363,GSM,427,1,9201,29393,0,51.421547,25.215302,1000,36,1,1352125527,1421079778,0
364,GSM,427,1,9201,29391,0,51.430495,25.218728,1000,23,1,1352125527,1364773679,0
365,GSM,427,1,9201,29343,0,51.403287,25.208986,2680,741,1,1352125527,1490672298,0
366,GSM,427,1,9201,25763,0,51.432919,25.219209,2377,162,1,1352125528,1490672298,0
367,GSM,427,1,9201,23352,0,51.423009,25.206028,1000,228,1,1352125528,1487931161,0
368,GSM,427,1,9201,21391,0,51.430984,25.203323,1000,10,1,1352125528,1455608525,0
369,GSM,427,1,9201,29133,0,51.441929,25.189441,1713,138,1,1352125529,1489674801,0
370,GSM,427,1,9201,29381,0,51.439486,25.212749,1149,22,1,1352125529,1421079780,0
371,GSM,427,1,9201,25733,0,51.434555,25.208022,5807,38,1,1352125530,1487931161,0
372,GSM,427,1,9201,25761,0,51.435941,25.218455,1536,218,1,1352125530,1487931161,0
