,Unnamed: 0,GPS_lat,GPS_long,Network_lat,Network_long,Time,Anchor_Number,Type,Registered,CID,LAC,MCC,MNC,dBm,level,spoofed
142,143,25.36876833333333,51.55140500000001,0.0,0.0,1561285804816,10,GSM,False,17381,120,427,2,-49,4,0.0
143,144,25.36876833333333,51.55140500000001,0.0,0.0,1561285804816,11,GSM,False,10022,120,427,2,-77,4,0.0
144,145,25.36876833333333,51.55140500000001,0.0,0.0,1561285804816,12,GSM,False,10681,120,427,2,-79,4,0.0
145,146,25.368786666666665,51.551415,0.0,0.0,1561285805859,0,GSM,True,40283,9402,427,1,-7,4,0.0
146,147,25.368786666666665,51.551415,0.0,0.0,1561285805859,1,GSM,False,40282,9402,427,1,-29,4,0.0
147,148,25.368786666666665,51.551415,0.0,0.0,1561285805859,2,GSM,False,40281,9402,427,1,-51,4,0.0
148,149,25.368786666666665,51.551415,0.0,0.0,1561285805859,3,GSM,False,25642,9402,427,1,-77,4,0.0
149,150,25.368786666666665,51.551415,0.0,0.0,1561285805859,4,GSM,False,29173,9402,427,1,-77,4,0.0
150,151,25.368786666666665,51.551415,0.0,0.0,1561285805859,5,GSM,False,29171,9402,427,1,-79,4,0.0
151,152,25.368786666666665,51.551415,0.0,0.0,1561285805859,6,GSM,False,49543,9402,427,1,-85,4,0.0
152,153,25.368786666666665,51.551415,0.0,0.0,1561285805859,7,GSM,True,17383,120,427,2,13,4,0.0
153,154,25.368786666666665,51.551415,0.0,0.0,1561285805859,8,GSM,False,17382,120,427,2,-23,4,0.0
154,155,25.368786666666665,51.551415,0.0,0.0,1561285805859,9,GSM,False,16573,120,427,2,-45,4,0.0
155,156,25.368786666666665,51.551415,0.0,0.0,1561285805859,10,GSM,False,17381,120,427,2,-49,4,0.0
156,157,25.368786666666665,51.551415,0.0,0.0,1561285805859,11,GSM,False,10022,120,427,2,-77,4,0.0
157,158,25.368786666666665,51.551415,0.0,0.0,1561285805859,12,GSM,False,10681,120,427,2,-79,4,0.0
158,160,25.368801666666663,51.55142333333333,0.0,0.0,1561285806882,0,GSM,True,40283,9402,427,1,-7,4,0.0
159,161,25.368801666666663,51.55142333333333,0.0,0.0,1561285806882,1,GSM,False,40282,9402,427,1,-29,4,0.0
160,162,25.368801666666663,51.55142333333333,0.0,0.0,1561285806882,2,GSM,False,40281,9402,427,1,-51,4,0.0
161,163,25.368801666666663,51.55142333333333,0.0,0.0,1561285806882,3,GSM,False,25642,9402,427,1,-77,4,0.0
162,164,25.368801666666663,51.55142333333333,0.0,0.0,1561285806882,4,GSM,False,29173,9402,427,1,-77,4,0.0
163,165,25.368801666666663,51.55142333333333,0.0,0.0,1561285806882,5,GSM,False,29171,9402,427,1,-79,4,0.0
164,166,25.368801666666663,51.55142333333333,0.0,0.0,1561285806882,6,GSM,False,49543,9402,427,1,-85,4,0.0
165,167,25.368801666666663,51.55142333333333,0.0,0.0,1561285806882,7,GSM,True,17383,120,427,2,13,4,0.0
166,168,25.368801666666663,51.55142333333333,0.0,0.0,1561285806882,8,GSM,False,17382,120,427,2,-19,4,0.0
167,169,25.368801666666663,51.55142333333333,0.0,0.0,1561285806882,9,GSM,False,16573,120,427,2,-45,4,0.0
168,170,25.368801666666663,51.55142333333333,0.0,0.0,1561285806882,10,GSM,False,17381,120,427,2,-53,4,0.0
169,171,25.368801666666663,51.55142333333333,0.0,0.0,1561285806882,11,GSM,False,16572,120,427,2,-71,4,0.0
170,172,25.368801666666663,51.55142333333333,0.0,0.0,1561285806882,12,GSM,False,10022,120,427,2,-77,4,0.0
171,173,25.368801666666663,51.55142333333333,0.0,0.0,1561285806882,13,GSM,False,10681,120,427,2,-81,4,0.0
172,174,25.36881,51.55142666666667,0.0,0.0,1561285807796,0,GSM,True,40283,9402,427,1,-7,4,0.0
173,175,25.36881,51.55142666666667,0.0,0.0,1561285807796,1,GSM,False,40282,9402,427,1,-29,4,0.0
174,176,25.36881,51.55142666666667,0.0,0.0,1561285807796,2,GSM,False,40281,9402,427,1,-51,4,0.0
175,177,25.36881,51.55142666666667,0.0,0.0,1561285807796,3,GSM,False,25642,9402,427,1,-77,4,0.0
176,178,25.36881,51.55142666666667,0.0,0.0,1561285807796,4,GSM,False,29173,9402,427,1,-77,4,0.0
177,179,25.36881,51.55142666666667,0.0,0.0,1561285807796,5,GSM,False,29171,9402,427,1,-79,4,0.0
178,180,25.36881,51.55142666666667,0.0,0.0,1561285807796,6,GSM,False,49543,9402,427,1,-85,4,0.0
179,181,25.36881,51.55142666666667,0.0,0.0,1561285807796,7,GSM,True,17383,120,427,2,13,4,0.0
180,182,25.36881,51.55142666666667,0.0,0.0,1561285807796,8,GSM,False,17382,120,427,2,-19,4,0.0
181,183,25.36881,51.55142666666667,0.0,0.0,1561285807796,9,GSM,False,16573,120,427,2,-45,4,0.0
182,184,25.36881,51.55142666666667,0.0,0.0,1561285807796,10,GSM,False,17381,120,427,2,-53,4,0.0
183,185,25.36881,51.55142666666667,0.0,0.0,1561285807796,11,GSM,False,16572,120,427,2,-71,4,0.0
184,186,25.36881,51.55142666666667,0.0,0.0,1561285807796,12,GSM,False,10022,120,427,2,-77,4,0.0
185,187,25.36881,51.55142666666667,0.0,0.0,1561285807796,13,GSM,False,10681,120,427,2,-81,4,0.0
186,188,25.36879833333333,51.551435000000005,0.0,0.0,1561285808805,0,GSM,True,40283,9402,427,1,-11,4,0.0
187,189,25.36879833333333,51.551435000000005,0.0,0.0,1561285808805,1,GSM,False,40282,9402,427,1,-29,4,0.0
188,190,25.36879833333333,51.551435000000005,0.0,0.0,1561285808805,2,GSM,False,40281,9402,427,1,-59,4,0.0
189,191,25.36879833333333,51.551435000000005,0.0,0.0,1561285808805,3,GSM,False,25642,9402,427,1,-79,4,0.0
190,192,25.36879833333333,51.551435000000005,0.0,0.0,1561285808805,4,GSM,False,29173,9402,427,1,-83,4,0.0
191,193,25.36879833333333,51.551435000000005,0.0,0.0,1561285808805,5,GSM,False,29171,9402,427,1,-85,4,0.0
192,194,25.36879833333333,51.551435000000005,0.0,0.0,1561285808805,6,GSM,False,49543,9402,427,1,-93,3,0.0
193,195,25.36879833333333,51.551435000000005,0.0,0.0,1561285808805,7,GSM,True,17383,120,427,2,13,4,0.0
194,196,25.36879833333333,51.551435000000005,0.0,0.0,1561285808805,8,GSM,False,17382,120,427,2,-19,4,0.0
195,197,25.36879833333333,51.551435000000005,0.0,0.0,1561285808805,9,GSM,False,16573,120,427,2,-45,4,0.0
196,198,25.36879833333333,51.551435000000005,0.0,0.0,1561285808805,10,GSM,False,17381,120,427,2,-53,4,0.0
197,199,25.36879833333333,51.551435000000005,0.0,0.0,1561285808805,11,GSM,False,16572,120,427,2,-71,4,0.0
198,200,25.36879833333333,51.551435000000005,0.0,0.0,1561285808805,12,GSM,False,10022,120,427,2,-77,4,0.0
199,201,25.36879833333333,51.551435000000005,0.0,0.0,1561285808805,13,GSM,False,10681,120,427,2,-81,4,0.0
200,202,25.368801666666663,51.551435000000005,0.0,0.0,1561285809765,0,GSM,True,40283,9402,427,1,-11,4,0.0
201,203,25.368801666666663,51.551435000000005,0.0,0.0,1561285809765,1,GSM,False,40282,9402,427,1,-29,4,0.0
202,204,25.368801666666663,51.551435000000005,0.0,0.0,1561285809765,2,GSM,False,40281,9402,427,1,-59,4,0.0
203,205,25.368801666666663,51.551435000000005,0.0,0.0,1561285809765,3,GSM,False,25642,9402,427,1,-79,4,0.0
204,206,25.368801666666663,51.551435000000005,0.0,0.0,1561285809765,4,GSM,False,29173,9402,427,1,-83,4,0.0
205,207,25.368801666666663,51.551435000000005,0.0,0.0,1561285809765,5,GSM,False,29171,9402,427,1,-85,4,0.0
206,208,25.368801666666663,51.551435000000005,0.0,0.0,1561285809765,6,GSM,False,49543,9402,427,1,-93,3,0.0
207,209,25.368801666666663,51.551435000000005,0.0,0.0,1561285809765,7,GSM,True,17383,120,427,2,13,4,0.0
208,210,25.368801666666663,51.551435000000005,0.0,0.0,1561285809765,8,GSM,False,17382,120,427,2,-19,4,0.0
209,211,25.368801666666663,51.551435000000005,0.0,0.0,1561285809765,9,GSM,False,16573,120,427,2,-45,4,0.0
210,212,25.368801666666663,51.551435000000005,0.0,0.0,1561285809765,10,GSM,False,17381,120,427,2,-53,4,0.0
211,213,25.368801666666663,51.551435000000005,0.0,0.0,1561285809765,11,GSM,False,16572,120,427,2,-71,4,0.0
212,214,25.368801666666663,51.551435000000005,0.0,0.0,1561285809765,12,GSM,False,10022,120,427,2,-77,4,0.0
213,215,25.368801666666663,51.551435000000005,0.0,0.0,1561285809765,13,GSM,False,10681,120,427,2,-81,4,0.0
214,216,25.368805,51.55143666666666,0.0,0.0,1561285810893,0,GSM,True,40283,9402,427,1,-11,4,0.0
215,217,25.368805,51.55143666666666,0.0,0.0,1561285810893,1,GSM,False,40282,9402,427,1,-29,4,0.0
216,218,25.368805,51.55143666666666,0.0,0.0,1561285810893,2,GSM,False,40281,9402,427,1,-59,4,0.0
